interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2021-06-01,2021-07-01,-0.0003676421765703708,0.0006195532041601837,0.00010053409418669516,0.00014134676207378283,65536,35129,NUTS_SL_01m_2024.shp,SI0,2021,June,6
2021-07-01,2021-08-01,-0.0003601056814659387,0.0008202622411772609,0.0001711664838523221,0.00015651506396694237,65536,40072,NUTS_SL_01m_2024.shp,SI0,2021,July,7
2021-08-01,2021-09-01,-0.00030623990460298955,0.0004901354550383985,7.127168927162028e-05,0.00013315559886224005,65536,43231,NUTS_SL_01m_2024.shp,SI0,2021,August,8
2021-09-01,2021-10-01,-0.0002770625869743526,0.0002829208970069885,4.339409677378215e-05,8.846947573617549e-05,65536,56199,NUTS_SL_01m_2024.shp,SI0,2021,September,9
2021-10-01,2021-11-01,-0.00032593042124062777,0.0006030782824382186,6.119352477931678e-05,0.00020527093987328124,65536,63914,NUTS_SL_01m_2024.shp,SI0,2021,October,10
2021-11-01,2021-12-01,-0.0005982427392154932,0.000706176389940083,3.338841024110302e-05,0.00026592935470489646,65536,60167,NUTS_SL_01m_2024.shp,SI0,2021,November,11
2021-12-01,2022-01-01,-0.0005207241629250348,0.0007408665842376649,1.798198197092402e-05,0.00017213803959440155,65536,40167,NUTS_SL_01m_2024.shp,SI0,2021,December,12
2022-01-01,2022-02-01,-0.00028585747350007296,0.0003036122943740338,5.2638411112117974e-05,0.00024091045647213716,65536,65337,NUTS_SL_01m_2024.shp,SI0,2022,January,1
2022-02-01,2022-03-01,-0.0003367094905115664,0.000513928011059761,3.824124956546059e-05,0.0001373102038469187,65536,49001,NUTS_SL_01m_2024.shp,SI0,2022,February,2
2022-04-01,2022-05-01,-0.0003079109010286629,0.00044561695540323853,6.684641410450115e-05,0.00013188414820249997,65536,33267,NUTS_SL_01m_2024.shp,SI0,2022,April,4
2022-05-01,2022-06-01,-0.0003123439382761717,0.0005561931757256389,6.807712033732133e-05,0.00011648326240950689,65536,46093,NUTS_SL_01m_2024.shp,SI0,2022,May,5
2022-06-01,2022-07-01,-0.00014401579392142594,0.0003961478651035577,8.489020776341442e-05,8.429963496629695e-05,65536,44177,NUTS_SL_01m_2024.shp,SI0,2022,June,6
2022-07-01,2022-08-01,-0.00017986854072660208,0.00033688757685013115,5.2561924877955885e-05,9.578371459404712e-05,65536,54231,NUTS_SL_01m_2024.shp,SI0,2022,July,7
