interval_from,interval_to,so2_B0_min,so2_B0_max,so2_B0_mean,so2_B0_stDev,so2_B0_sampleCount,so2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2024-09-01,2024-10-01,-0.0014988260809332132,0.004328795708715916,0.0005377113048742507,0.001043065867792095,65536,34789,NUTS_SL_01m_2024.shp,SI0,2024,September,9
2024-10-01,2024-11-01,-0.0014807742554694414,0.0054438114166259766,0.000630230486411131,0.001347905398044003,65536,41273,NUTS_SL_01m_2024.shp,SI0,2024,October,10
2018-04-01,2018-05-01,-0.0008962173014879227,0.0020231103990226984,0.00013080873880124197,0.0003449474342543949,65536,44986,NUTS_SL_01m_2024.shp,SI03,2018,April,4
2018-05-01,2018-06-01,-0.0009105098433792591,0.0008576486143283546,1.696417467249147e-05,0.00025548011512463236,65536,47286,NUTS_SL_01m_2024.shp,SI03,2018,May,5
2018-06-01,2018-07-01,-0.0009367582388222218,0.0011588428169488907,5.3769134173981414e-05,0.00036384609475486175,65536,51160,NUTS_SL_01m_2024.shp,SI03,2018,June,6
2018-07-01,2018-08-01,-0.0008631405071355402,0.0011710218386724591,6.735934505262328e-05,0.0002789489749460556,65536,39323,NUTS_SL_01m_2024.shp,SI03,2018,July,7
2018-08-01,2018-09-01,-0.0014842983800917864,0.0020331447012722492,0.0002857010732920315,0.0011667447108088239,65536,65143,NUTS_SL_01m_2024.shp,SI03,2018,August,8
2018-09-01,2018-10-01,-0.0014649067306891084,0.0034714387729763985,0.00040749196950290364,0.0008533732415942195,65536,39457,NUTS_SL_01m_2024.shp,SI03,2018,September,9
2018-10-01,2018-11-01,-0.001499432255513966,0.00288333254866302,0.00020748225254013587,0.0007879345417883756,65536,42262,NUTS_SL_01m_2024.shp,SI03,2018,October,10
2018-12-01,2019-01-01,-0.0014942933339625597,0.01170414686203003,0.0017726601782445473,0.002375590359157538,65536,50142,NUTS_SL_01m_2024.shp,SI03,2018,December,12
2019-01-01,2019-02-01,0.0011140243150293827,0.0011140243150293827,0.0011140243150293827,0.0,65536,65529,NUTS_SL_01m_2024.shp,SI03,2019,January,1
2019-02-01,2019-03-01,-0.0013905353844165802,0.0030823650304228067,0.0006159518897589749,0.0009438129409393183,65536,40219,NUTS_SL_01m_2024.shp,SI03,2019,February,2
2019-03-01,2019-04-01,-0.0014569576596841216,0.002791138831526041,0.0002957739877139249,0.0008142114954488744,65536,39747,NUTS_SL_01m_2024.shp,SI03,2019,March,3
2019-05-01,2019-06-01,-0.00045155896805226803,0.0005608195788227022,2.1285846736001037e-05,0.000259106073281343,65536,62853,NUTS_SL_01m_2024.shp,SI03,2019,May,5
2019-06-01,2019-07-01,-0.0014994919765740633,0.001518819946795702,-0.00014227106440098223,0.0005722652558888275,65536,39532,NUTS_SL_01m_2024.shp,SI03,2019,June,6
2019-07-01,2019-08-01,-0.0010280624264851213,0.0012666269904002547,0.0001774105707897138,0.00037009017060605516,65536,52301,NUTS_SL_01m_2024.shp,SI03,2019,July,7
2019-08-01,2019-09-01,-0.0010394242126494646,0.000957953801844269,3.0035193673090968e-05,0.000308336333905137,65536,40662,NUTS_SL_01m_2024.shp,SI03,2019,August,8
2019-09-01,2019-10-01,-0.0014641523594036698,0.005760342814028263,0.0004202227560435014,0.0012913218931419996,65536,49118,NUTS_SL_01m_2024.shp,SI03,2019,September,9
2019-10-01,2019-11-01,-0.0013667377643287182,0.0023447303101420403,-6.300393324331964e-05,0.0007549793300382192,65536,65058,NUTS_SL_01m_2024.shp,SI03,2019,October,10
2019-11-01,2019-12-01,-0.001487567089498043,0.005888913292437792,0.0007516841779148757,0.0015044611799913143,65536,51967,NUTS_SL_01m_2024.shp,SI03,2019,November,11
2019-12-01,2020-01-01,-0.0014407058479264379,0.010543927550315857,0.0030293561354151604,0.0034449074077548955,65536,62805,NUTS_SL_01m_2024.shp,SI03,2019,December,12
